ls_product_id,barcode,ls_name,error
edfc17ea-2767-4265-8870-e0ef123bd7c9,194648225526,Double Barrel Bootcut Jeans (M-WMA-M0D7715-DAR-44-36),barcode already used by another LS product
d0a75d01-6c61-4b7a-b9ef-b4b35f6e4f96,197815126664,Double Barrel Stackable Boot (M-WMA-VMTBD03712-MED-40-30),barcode already used by another LS product
2006f7f5-77d6-4a79-bc4c-c2c20817760c,197815865501,Floral Print Midi Dress (W-WMA-BWD0R08086-NAV-XS),barcode already used by another LS product
59ea60a3-cb85-4a4d-b8b0-741704560596,197815934535,Floral Print Midi Dress (W-WMA-BWD0R08086-NAV-XS),barcode already used by another LS product
5a68ed1b-a3f9-48ee-b741-a2d5aff070a7,197815865495,Floral Print Midi Dress (W-WMA-BWD0R08086-NAV-XS),barcode already used by another LS product
114b15cb-1780-4cc0-85a1-fc0af297abc3,197815865518,Floral Print Midi Dress (W-WMA-BWD0R08086-NAV-XS),barcode already used by another LS product
db71283f-0422-4f2f-997b-0751ab17d4cf,197815865488,Floral Print Midi Dress (W-WMA-BWD0R08086-NAV-XS),barcode already used by another LS product
7b2cfb6f-df02-4009-bd48-3f2a634a2eea,194648772587,Juniors Mid Rise Trouser (W-WMA-W8M3517-LIG-33-32),barcode already used by another LS product
315237e1-b721-4765-9288-d4da286273d8,194648772693,Juniors Mid Rise Trouser (W-WMA-W8M3517-LIG-33-32),barcode already used by another LS product
408e052b-4061-4276-9e50-58016dc863df,197815944718,Mens LS 2Pkt Snap (M-WMA-RMN2S08249-MAR-XS),barcode already used by another LS product
b9cc7f8e-b9d6-4591-bd91-49028944b4ee,197815944725,Mens LS 2Pkt Snap (M-WMA-RMN2S08249-MAR-XS),barcode already used by another LS product
eff645eb-3997-453e-8a5f-39d68c534d47,740176170205,Riding Dark Vintage Bootcut (W-WMA-W7_9516-DAR-32-32),barcode already used by another LS product
a9039ddb-fc6b-4b0a-a3e0-72cea75de7c6,196692695737,WD Star Backyoke Highrise Boot (W-WMA-BW4HD02244-DAR-36-34),barcode already used by another LS product
816eaf9c-562b-440c-bc9f-a9c98c704e0a,196692695584,WD Star Backyoke Highrise Boot (W-WMA-BW4HD02244-DAR-36-34),barcode already used by another LS product
fb8fb10b-8a8a-4765-ae17-1c866ce521c5,196692695591,WD Star Backyoke Highrise Boot (W-WMA-BW4HD02244-DAR-36-34),barcode already used by another LS product
58396d03-9986-4780-8119-a13dd9d21bb8,196692695713,WD Star Backyoke Highrise Boot (W-WMA-BW4HD02244-DAR-36-34),barcode already used by another LS product
