confidence,name_similarity,match_type,ls_product_id,ls_name,ls_sku,brand,ls_current_type_id,our_category,our_sku,our_name
REVIEW,0.39,sku_match,a15d1db7-2173-4afb-a657-954950ea1aea,Ashlyn Jacket (W-OTC-29819-BRO-SM),W-OTC-29819-BRN-3X,,,Apparel - Jacket,W-OTC-29819-BRN-3X,Outback Trading Co. Ashlyn Jacket
REVIEW,0.55,sku_match,88931b4b-6bdb-46de-94ff-0981dba3b830,Ashlyn Jacket (W-OTC-29819-BRO-SM),W-OTC-29819-BRN-1X,,,Apparel - Jacket,W-OTC-29819-BRN-1X,Ashlyn Jacket
REVIEW,0.55,sku_match,2c4e4ef1-808e-4459-ac93-9c4fba84f015,Ashlyn Jacket (W-OTC-29819-BRO-SM),W-OTC-29819-BRO-SM,,,Apparel - Jacket,W-OTC-29819-BRO-SM,Ashlyn Jacket
REVIEW,0.43,sku_match,d0f416a1-2deb-42fc-a364-e33a7754a21f,Ashlyn Jacket (W-OTC-29819-BRO-SM),W-OTC-29819-BRN-MD,,,Apparel - Jacket,W-OTC-29819-BRN-MD,Asylum Jacket
REVIEW,0.55,sku_match,04a26a8b-1a49-4cae-bf8d-20a4f2d04c07,Ashlyn Jacket (W-OTC-29819-BRO-SM),W-OTC-29819-BRN-XL,,,Apparel - Jacket,W-OTC-29819-BRN-XL,Ashlyn Jacket
REVIEW,0.55,sku_match,a5277e84-ee75-4858-9030-57ad65c4d110,C'Anne Jacket (W-OTC-29649-NAV-SM),W-OTC-29649-NAV-1X,,,Apparel - Jacket,W-OTC-29649-NAV-1X,C'Anne Jacket
REVIEW,0.55,sku_match,cdb26bf1-ba33-4f2c-be27-bb4b77b24402,C'Anne Jacket (W-OTC-29649-NAV-SM),W-OTC-29649-NAV-SM,,,Apparel - Jacket,W-OTC-29649-NAV-SM,C'Anne Jacket
REVIEW,0.55,sku_match,0ae4d207-e86f-4ac8-9d69-ba943edba11f,C'Anne Jacket (W-OTC-29649-NAV-SM),W-OTC-29649-NAV-LG,,,Apparel - Outerwear,W-OTC-29649-NAV-LG,C'Anne Jacket
REVIEW,0.57,sku_match,b34acbe9-4bcf-4ad0-9ce6-d8080fd4b211,Delaney Henley (W-OTC-40227-NAV-2X),W-OTC-40227-NAV-2X,,,Apparel - Shirt,W-OTC-40227-NAV-2X,Delaney Henley
REVIEW,0.58,sku_match,1082f3f4-c53e-4f44-9cfa-ef079ee413ae,LS BD Plaid Shirt (M-WMA-PSMSOBRZ6M-MAI-S),M-WMA-PSMSOBRZ6M-MAI-S,,,Apparel - Shirt,M-WMA-PSMSOBRZ6M-MAI-S,LS BD Plaid Shirt
REVIEW,0.29,sku_match,8217355e-7396-4935-af22-9c70723f7b80,Shirt (A-GEN-30635-503-20-20),A-GEN-30635-503-20-20,,,Apparel - Shirt,A-GEN-30635-503-20-20,Shirt
REVIEW,0.57,sku_match,b5203e63-ce80-4b06-b9f9-c1ef8c7ddc58,Starter Show Coat (W-JPC-10087-252-NAV-12R),W-JPC-10087-252-NAV-12,,,Apparel - Show Coats,W-JPC-10087-252-NAV-12,Starter Show Coat
REVIEW,0.57,sku_match,cb02b136-f9bd-4e68-8b6c-26e0589a67ee,Starter Show Coat (W-JPC-10087-252-NAV-12R),W-JPC-10087-252-BLA-14,,,Apparel - Show Coats,W-JPC-10087-252-BLA-14,Starter Show Coat
REVIEW,0.57,sku_match,8a18861d-a997-4b2f-93ca-5973be826a45,Starter Show Coat (W-JPC-10087-252-NAV-12R),W-JPC-10087-252-NAV-12R,,,Apparel - Show Coats,W-JPC-10087-252-NAV-12R,Starter Show Coat
REVIEW,0.57,sku_match,47030d35-d921-457f-a604-cb820b5b8bd2,Connie Sweater (W-OTC-40218-BLU-XL),W-OTC-40218-BLU-MD,,,Apparel - Sweater,W-OTC-40218-BLU-MD,Connie Sweater
REVIEW,0.57,sku_match,51f3486b-da27-4e9b-8900-38e0349663b7,Connie Sweater (W-OTC-40218-BLU-XL),W-OTC-40218-BLU-XL,,,Apparel - Sweater,W-OTC-40218-BLU-XL,Connie Sweater
REVIEW,0.57,sku_match,1da0f810-5069-462f-99e2-159f066f6d58,Connie Sweater (W-OTC-40218-BLU-XL),W-OTC-40218-BLU-SM,,,Apparel - Sweater,W-OTC-40218-BLU-SM,Connie Sweater
REVIEW,0.52,sku_match,70d10b2a-fcd1-4655-bded-acce38ee8feb,V-hem Tank - Plus (W-WMA-WLWT20XZJ7-LIG-3X),W-WMA-WLWT20XZJ7-RED-2X,,,Apparel - Tank,W-WMA-WLWT20XZJ7-RED-2X,V-hem Tank Plus
REVIEW,0.49,sku_match,b4a8bc2b-94aa-4491-b131-69be125172a5,V-hem Tank - Plus (W-WMA-WLWT20XZJ7-LIG-3X),W-WMA-WLWT20XZJ7-RED-1X,,,Apparel - Tank,W-WMA-WLWT20XZJ7-RED-1X,V-hemTank Plus
REVIEW,0.57,sku_match,dff70fcd-1396-47ad-aadb-26caebb4fceb,V-hem Tank - Plus (W-WMA-WLWT20XZJ7-LIG-3X),W-WMA-WLWT20XZJ7-LIG-3X,,,Apparel - Tank,W-WMA-WLWT20XZJ7-LIG-3X,V-hem Tank - Plus
REVIEW,0.43,sku_match,5743e73d-e878-427d-b167-6f8279423606,V-Hem Tank (W-WMA-WLWT20RZJ7-RED-XXL),W-WMA-WLWT20RZJ7-RED-XXL,,,Apparel - Tank,W-WMA-WLWT20RZJ7-RED-XXL,V-Hem Tank
REVIEW,0.57,sku_match,de4f97d8-06cf-4fb8-93ee-a3dd7344387e,V-hem Tank - Plus (W-WMA-WLWT20XZJ7-LIG-3X),W-WMA-WLWT20XZJ7-RED-3X,,,Apparel - Tank Top,W-WMA-WLWT20XZJ7-RED-3X,V-hem Tank - Plus
REVIEW,0.44,sku_match,e3fb4a3c-1483-4b23-833c-c12c1d5e3b87,Mens Vest (M-WMA-98T1176-BLA-MT),M-WMA-98T1176-BLA-MT,,,Apparel - Vest,M-WMA-98T1176-BLA-MT,Mens Vest
