style_number,item_name,ls_family_id,ls_family_name,brand_set,needs_supplier,needs_category,first_variant_sku
CTK7459004,Cruel Denim T-Shirt,d0df5008-3d33-4002-b190-ce499ecb8b6c,Cruel Denim T-Shirt [CTK7459004],Cruel Denim,Cruel Denim,Apparel - T-Shirts & Tanks,W-CRU-CTK7459004-KHA-KHA-S
SS25058126,John B. Stetson Hat,dc0e021b-3ede-493f-b02d-fbe3aabeb69a,John B. Stetson Hat [SS25058126],John B. Stetson,"HATCO. RHE Hatco, Inc.",Hats - Straw Cowboy Hats,A-RHE-SS25058126-NAT-7-3/8-R
RFKGMN-52402276,Resistol George Straight Kingman Hat,3b31c291-f878-436a-80a7-545a79237fbb,Resistol George Straight Kingman Hat [RFKGMN-52402276],Resistol,"HATCO. RHE Hatco, Inc.",Hats,A-RHE-RFKGMN-52402276-CHO-7-3/4
Thunderbolt,Bailey Hat,6c7ceb8e-8cc0-4f5e-9fa3-6ce0afc1120d,Bailey Hat,Bailey,"HATCO. RHE Hatco, Inc.",Hats,A-RHE-Thunderbolt-DOB2-6-3/4
CB76953001,MILA Cruel Denim Moderate Rise Trouser,eddf6bc1-154b-40f0-99fb-8e309c7b0e35,MILA Cruel Denim Moderate Rise Trouser [CB76953001],Cruel Denim,Cruel Denim,Apparel - Jeans,W-CRU-CB76953001-IND-IND-31/11-L
MB71934005,Cinch Carter 2.4 Relaxed Jeans,c130f5fc-4dff-4a43-ac2d-ece0767981cd,Cinch Carter 2.4 Relaxed Jeans [MB71934005],Cinch,Miller Brands LLC,Apparel - Jeans,M-MIN-MB71934005-IND-NA-44-34
PH,Phantom Rider Fortitude,b3a60872-b913-4f60-9993-a219c1ff6640,Phantom Rider Fortitude,H & H,"BH Shoe Holdings, Inc",Footwear - Boots,M-BHS-PH-5005-BRO-13-EE
CTW7473002,Women's  Sleeveless Top,808b352b-01d5-4a97-83ef-9e6c55c5243b,Women's  Sleeveless Top [CTW7473002],Cruel Denim,Cruel Denim,Apparel - Western Woven Shirts,W-CRU-CTW7473002-WHT-WHI-XXL
MSW9162001,Arenaflex Button-Up Shirt,99676c76-8199-48b4-91c1-6101e19be303,Arenaflex Button-Up Shirt [MSW9162001],Cinch,Miller Brands LLC,Apparel - Western Woven Shirts,W-MIN-MSW9162001-COR-COR-S
MSW9162003,ArenaFlex Button-Up SS Blouse,95b4a246-d13d-481a-a34f-7bf34d237f9d,ArenaFlex Button-Up SS Blouse [MSW9162003],Cinch,Miller Brands LLC,Apparel - Western Woven Shirts,W-MIN-MSW9162003-GRN-GRN-XL
CTK7450009,Cruel Denim T-Shirt,71056886-1314-4e5e-b87b-f5174ac97ffa,Cruel Denim T-Shirt [CTK7450009],Cruel Denim,Cruel Denim,Apparel - T-Shirts & Tanks,W-CRU-CTK7450009-TUR-TUR-XXL
CTK7508001,Rodeo American Tradition Graphic Tank,30580731-4f8c-4a09-a7db-f60979c7e893,Rodeo American Tradition Graphic Tank [CTK7508001],Cruel Denim,Cruel Denim,Apparel - T-Shirts & Tanks,W-CRU-CTK7508001-GRN-GRN-XS
3880,Smoky Mountain Boots,39b42db8-783c-46cb-b7ee-22c9e84cd8e0,Smoky Mountain Boots [3880],Smoky Mountain,Smokey Mountain Boots,Footwear - Boots,K-SMB-3880-C-V-13-NA
DH,H & H DH4158,848ef3ff-7280-42a2-88e6-436a9d87b41e,H & H DH4158,H & H,"BH Shoe Holdings, Inc",Footwear - Boots,M-BHS-DH-4158-8.5-D
MAK9924001,Women’s 1/4 Zip Pullover,eff8e7ec-13f2-4352-8e89-116958e9517e,Women’s 1/4 Zip Pullover [MAK9924001],Cinch,Miller Brands LLC,Apparel - Mid-Layer,W-MIN-MAK9924001-TEA-TEA-M
MSW9164256,Cinch Women's Purple Striped Long Sleeve Shirt,6fb94eb2-0fe5-4c09-8ae1-4b6eb8c4d23a,Cinch Women's Purple Striped Long Sleeve Shirt [MSW9164256],Cinch,Miller Brands LLC,Apparel - Western Woven Shirts,W-MIN-MSW9164256-PUR-PUR-XS
