confidence,name_similarity,match_type,ls_product_id,ls_name,ls_sku,brand,supplier,our_barcode,our_sku,our_name,Review,Reason
MEDIUM,0.65,sku_match,5cd91781-5930-4dc7-8b8b-c6c85f6b236c,Card 00795 (LT-00795),LT-00795,,,032687208417,LT-00795,Card 00795,Ok,
MEDIUM,0.65,sku_match,7ebdfbf2-a3b8-4259-94a6-5cccd15b8a03,Card 00801 (LT-00801),LT-00801,,,032687178970,LT-00801,Card 00801,Ok,
MEDIUM,0.65,sku_match,b1f2fd77-678e-4dab-a7ec-b3520ff0f319,Card 00826 (LT-00826),LT-00826,,,032687182113,LT-00826,Card 00826,Ok,
MEDIUM,0.65,sku_match,4d49d417-34df-40d1-b319-cf95d198e046,Card 00837 (LT-00837),LT-00837,,,032687182243,LT-00837,Card 00837,Ok,
MEDIUM,0.65,sku_match,22449967-d198-4167-9d21-cccd6536214f,Card 00849 (LT-00849),LT-00849,,,032687179090,LT-00849,Card 00849,Ok,
MEDIUM,0.65,sku_match,5c3317a7-e3ad-4ea7-8608-69c786f8cba6,Card 00868 (LT-00868),LT-00868,,,032687185305,LT-00868,Card 00868,Ok,
MEDIUM,0.65,sku_match,de654b88-e896-4b9c-96ae-b62e4ef770a6,Card 00883 (LT-00883),LT-00883,,,032687217228,LT-00883,Card 00883,Ok,
MEDIUM,0.65,sku_match,74fb559f-4e6c-40de-926a-5f5aef82be07,Card 00891 (LT-00891),LT-00891,,,032687217303,LT-00891,Card 00891,Ok,
MEDIUM,0.65,sku_match,80427c71-c0de-43bf-ab1c-d54ee6e26767,Card 00909 (LT-00909),LT-00909,,,032687217518,LT-00909,Card 00909,Ok,
MEDIUM,0.65,sku_match,aca39b23-bb02-4bfb-8db7-2b046af95c17,Card 00919 (LT-00919),LT-00919,,,032687217662,LT-00919,Card 00919,Ok,
MEDIUM,0.65,sku_match,2ad73463-9af7-4cda-b9e3-b0456f2674e2,Card 00921 (LT-00921),LT-00921,,,032687217686,LT-00921,Card 00921,Ok,
MEDIUM,0.65,sku_match,319bbafa-982b-4a8c-8e93-84e422067126,Card 00936 (LT-00936),LT-00936,,,032687219222,LT-00936,Card 00936,Ok,
MEDIUM,0.65,sku_match,ee6be6a4-e159-4ecf-be6c-39aafe498e22,Card 00955 (LT-00955),LT-00955,,,032687006693,LT-00955,Card 00955,Ok,
MEDIUM,0.65,sku_match,24f90460-e15a-46f3-8b06-a81a21a985c4,Card 00996 (LT-00996),LT-00996,,,032687219918,LT-00996,Card 00996,Ok,
MEDIUM,0.65,sku_match,94033df6-c318-42a3-a444-be1f3f6afe3f,Card 11318 (LT-11318),LT-11318,,,032687102227,LT-11318,Card 11318,Ok,
MEDIUM,0.65,sku_match,ca84df85-48dd-4096-a02e-451c667a8a78,Card 13348 (LT-13348),LT-13348,,,032687001940,LT-13348,Card 13348,Ok,
MEDIUM,0.65,sku_match,1f585a0f-8224-43bd-8ccb-246966d8f1ba,Card 18675 (LT-18675),LT-18675,,,032687003067,LT-18675,Card 18675,Ok,
MEDIUM,0.65,sku_match,f401b04c-250d-4795-9ede-d2b6fa913b43,Card 18728 (LT-18728),LT-18728,,,032687100131,LT-18728,Card 18728,Ok,
MEDIUM,0.65,sku_match,f0d94ba1-4bb9-40d9-b0f0-3a054ded7a33,Card 18823 (LT-18823),LT-18823,,,032687094775,LT-18823,Card 18823,Ok,
MEDIUM,0.65,sku_match,ba091249-4e38-4e51-abd8-cb3cf1ec2183,Card 41872 (LT-41872),LT-41872,,,032687106843,LT-41872,Card 41872,Ok,
MEDIUM,0.65,sku_match,2dcfa9db-6b2d-478c-9836-8ba680837b5d,Card 43320 (LT-43320),LT-43320,,,032687102104,LT-43320,Card 43320,Ok,
MEDIUM,0.65,sku_match,7f3e0e49-9be3-4ed8-9b68-6a184b120e70,Card 70909 (LT-70909),LT-70909,,,032687087500,LT-70909,Card 70909,Ok,
MEDIUM,0.65,sku_match,93ea2e6f-3b51-428b-ad24-7ffbb3c3539e,Card 70925 (LT-70925),LT-70925,,,032687094249,LT-70925,Card 70925,Ok,
MEDIUM,0.67,sku_match,c1ef97cb-91c6-4020-8795-f3a6f0f2dc96,Cards 00466 (LT-00466),LT-00466,,,032687225377,LT-00466,Cards 00466,Ok,
