color_code,size,length,ss_new_name,ss_new_sku,ss_upc,ss_supply_price,note
PWI,38,30,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-38-30,051071128384,29.0,In spreadsheet but not found in LS — needs CREATE
CHA,32,38,COWBOY CUT JEAN* ORIGINAL FIT CHARGREY,M-Kon-1013MWZCG-32-38,051071266758,31.25,In spreadsheet but not found in LS — needs CREATE
WHI,38,30,COWBOY CUT JEAN* ORIGINAL FIT WHITE,M-Kon-1013MWZWI-38-30,051071675819,30.0,In spreadsheet but not found in LS — needs CREATE
DST,30,32,COWBOY CUT JEAN* ORIGINAL FIT DK_STONE,M-Kon-1013MWZDD-30-32,084084358356,31.65,In spreadsheet but not found in LS — needs CREATE
AWS,38,30,COWBOY CUT JEAN* ORIGINAL FIT ANTIQUE_WS,M-Kon-1013MWZAW-38-30,760609586205,31.65,In spreadsheet but not found in LS — needs CREATE
DST,38,30,COWBOY CUT JEAN* ORIGINAL FIT DK_STONE,M-Kon-1013MWZDD-38-30,084084358660,31.65,In spreadsheet but not found in LS — needs CREATE
SHB,32,36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-32-36,084084494474,30.0,In spreadsheet but not found in LS — needs CREATE
GBB,32,34,COWBOY CUT JEAN* ORIGINAL FIT GB_BLEACH,M-Kon-1013MWZGH-32-34,084084441409,31.65,In spreadsheet but not found in LS — needs CREATE
DST,35,36,COWBOY CUT JEAN* ORIGINAL FIT DK_STONE,M-Kon-1013MWZDD-35-36,084084358608,31.65,In spreadsheet but not found in LS — needs CREATE
SHB,42,34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-42-34,084084494788,30.0,In spreadsheet but not found in LS — needs CREATE
SGB,46,34,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-46-34,760609356235,34.15,In spreadsheet but not found in LS — needs CREATE
PRE,14,HSK,COWBOY CUT JEAN* BOYS 8-18 PREWASH,B-Kon-1013MWZBP-14-HSK,084084993212,16.25,In spreadsheet but not found in LS — needs CREATE
PWI,50,32,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-50-32,760609356402,31.5,In spreadsheet but not found in LS — needs CREATE
RIG,48,34,COWBOY CUT JEAN* ORIGINAL FIT RIGID,M-Kon-1013MWZXS-48-34,051071393232,23.75,In spreadsheet but not found in LS — needs CREATE
SGB,36,32,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-36-32,084084240125,31.65,In spreadsheet but not found in LS — needs CREATE
BCH,28,32,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,M-Kon-1013MWZKL-28-32,084084784872,30.0,In spreadsheet but not found in LS — needs CREATE
RIG,40,40,COWBOY CUT JEAN* ORIGINAL FIT RIGID,M-Kon-1013MWZXS-40-40,051071611862,23.75,In spreadsheet but not found in LS — needs CREATE
CHA,34,30,COWBOY CUT JEAN* ORIGINAL FIT CHARGREY,M-Kon-1013MWZCG-34-30,051071266802,30.0,In spreadsheet but not found in LS — needs CREATE
BCH,35,34,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,M-Kon-1013MWZKL-35-34,084084785206,30.0,In spreadsheet but not found in LS — needs CREATE
SGB,35,36,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-35-36,084084240101,31.65,In spreadsheet but not found in LS — needs CREATE
PWI,31,34,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-31-34,051071128162,29.0,In spreadsheet but not found in LS — needs CREATE
GBB,27,34,COWBOY CUT JEAN* ORIGINAL FIT GB_BLEACH,M-Kon-1013MWZGH-27-34,084084441195,31.65,In spreadsheet but not found in LS — needs CREATE
GBB,29,38,COWBOY CUT JEAN* ORIGINAL FIT GB_BLEACH,M-Kon-1013MWZGH-29-38,084084441270,32.9,In spreadsheet but not found in LS — needs CREATE
TAN,34,36,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-34-36,051071340571,30.0,In spreadsheet but not found in LS — needs CREATE
SGB,29,34,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-29-34,084084239808,31.65,In spreadsheet but not found in LS — needs CREATE
PWI,27,36,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-27-36,084084391841,29.0,In spreadsheet but not found in LS — needs CREATE
WHI,31,38,COWBOY CUT JEAN* ORIGINAL FIT WHITE,M-Kon-1013MWZWI-31-38,051071675574,30.0,In spreadsheet but not found in LS — needs CREATE
SHB,40,30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-40-30,084084494726,30.0,In spreadsheet but not found in LS — needs CREATE
SGB,54,34,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-54-34,760609356358,31.65,In spreadsheet but not found in LS — needs CREATE
TAN,34,40,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-34-40,672787249431,30.0,In spreadsheet but not found in LS — needs CREATE
AWS,27,36,COWBOY CUT JEAN* ORIGINAL FIT ANTIQUE_WS,M-Kon-1013MWZAW-27-36,760609585796,31.65,In spreadsheet but not found in LS — needs CREATE
SHB,48,34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-48-34,760609356525,32.5,In spreadsheet but not found in LS — needs CREATE
PWI,46,34,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-46-34,084084944795,31.5,In spreadsheet but not found in LS — needs CREATE
TAN,32,30,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-32-30,051071340441,30.0,In spreadsheet but not found in LS — needs CREATE
SHB,38,30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-38-30,084084494672,30.0,In spreadsheet but not found in LS — needs CREATE
PRE,20,SLM,COWBOY CUT JEAN* BOYS 8-18 PREWASH,B-Kon-1013MWZBP-20-SLM,191057793226,16.25,In spreadsheet but not found in LS — needs CREATE
PRE,20,REG,COWBOY CUT JEAN* BOYS 8-18 PREWASH,B-Kon-1013MWZBP-20-REG,191057793233,16.25,In spreadsheet but not found in LS — needs CREATE
PWI,30,32,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-30-32,051071128100,29.0,In spreadsheet but not found in LS — needs CREATE
CHA,31,32,COWBOY CUT JEAN* ORIGINAL FIT CHARGREY,M-Kon-1013MWZCG-31-32,051071266673,30.0,In spreadsheet but not found in LS — needs CREATE
SHB,37,30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-37-30,051071769112,30.0,In spreadsheet but not found in LS — needs CREATE
WHI,30,32,COWBOY CUT JEAN* ORIGINAL FIT WHITE,M-Kon-1013MWZWI-30-32,051071675499,30.0,In spreadsheet but not found in LS — needs CREATE
AWS,36,32,COWBOY CUT JEAN* ORIGINAL FIT ANTIQUE_WS,M-Kon-1013MWZAW-36-32,760609586168,31.65,In spreadsheet but not found in LS — needs CREATE
PWI,38,36,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-38-36,051071352307,29.0,In spreadsheet but not found in LS — needs CREATE
SGB,28,34,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-28-34,084084239778,31.65,In spreadsheet but not found in LS — needs CREATE
PWI,35,36,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-35-36,051071508896,29.0,In spreadsheet but not found in LS — needs CREATE
AWS,30,32,COWBOY CUT JEAN* ORIGINAL FIT ANTIQUE_WS,M-Kon-1013MWZAW-30-32,760609585888,31.65,In spreadsheet but not found in LS — needs CREATE
AWS,38,36,COWBOY CUT JEAN* ORIGINAL FIT ANTIQUE_WS,M-Kon-1013MWZAW-38-36,760609586236,31.65,In spreadsheet but not found in LS — needs CREATE
TAN,27,32,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-27-32,051071340229,30.0,In spreadsheet but not found in LS — needs CREATE
SHB,50,32,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-50-32,760609356549,32.5,In spreadsheet but not found in LS — needs CREATE
PWI,38,40,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-38-40,084084944771,30.25,In spreadsheet but not found in LS — needs CREATE
GBB,33,32,COWBOY CUT JEAN* ORIGINAL FIT GB_BLEACH,M-Kon-1013MWZGH-33-32,084084441447,31.65,In spreadsheet but not found in LS — needs CREATE
AWS,35,36,COWBOY CUT JEAN* ORIGINAL FIT ANTIQUE_WS,M-Kon-1013MWZAW-35-36,760609586144,31.65,In spreadsheet but not found in LS — needs CREATE
PWI,32,34,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-32-34,051071128216,29.0,In spreadsheet but not found in LS — needs CREATE
TAN,40,32,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-40-32,051071438629,30.0,In spreadsheet but not found in LS — needs CREATE
TAN,28,30,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-28-30,672787249400,30.0,In spreadsheet but not found in LS — needs CREATE
WHI,32,38,COWBOY CUT JEAN* ORIGINAL FIT WHITE,M-Kon-1013MWZWI-32-38,051071675628,30.0,In spreadsheet but not found in LS — needs CREATE
AWS,32,34,COWBOY CUT JEAN* ORIGINAL FIT ANTIQUE_WS,M-Kon-1013MWZAW-32-34,760609585994,31.65,In spreadsheet but not found in LS — needs CREATE
PWI,35,32,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-35-32,051071508872,29.0,In spreadsheet but not found in LS — needs CREATE
SGB,32,30,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-32-30,084084239938,31.65,In spreadsheet but not found in LS — needs CREATE
SGB,38,38,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-38-38,084084392138,32.9,In spreadsheet but not found in LS — needs CREATE
PRE,2T,SLM,COWBOY CUT JEAN* CHILDRENS 1-7 PREWASH,B-Kon-1013MWZJP-2T-SLM,051071634878,13.5,In spreadsheet but not found in LS — needs CREATE
DST,31,30,COWBOY CUT JEAN* ORIGINAL FIT DK_STONE,M-Kon-1013MWZDD-31-30,084084358394,31.65,In spreadsheet but not found in LS — needs CREATE
BCH,30,38,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,M-Kon-1013MWZKL-30-38,084084784988,30.0,In spreadsheet but not found in LS — needs CREATE
SGB,44,30,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-44-30,760609356181,34.15,In spreadsheet but not found in LS — needs CREATE
SHB,27,36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-27-36,084084494269,30.0,In spreadsheet but not found in LS — needs CREATE
SHB,34,34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-34-34,084084494566,30.0,In spreadsheet but not found in LS — needs CREATE
CHA,30,36,COWBOY CUT JEAN* ORIGINAL FIT CHARGREY,M-Kon-1013MWZCG-30-36,051071266642,30.0,In spreadsheet but not found in LS — needs CREATE
SHB,36,34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-36-34,084084494641,30.0,In spreadsheet but not found in LS — needs CREATE
TAN,38,32,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-38-32,051071340656,30.0,In spreadsheet but not found in LS — needs CREATE
TAN,36,36,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-36-36,051071340625,30.0,In spreadsheet but not found in LS — needs CREATE
PRE,18,HSK,COWBOY CUT JEAN* BOYS 8-18 PREWASH,B-Kon-1013MWZBP-18-HSK,084084993236,16.25,In spreadsheet but not found in LS — needs CREATE
SGB,33,32,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-33-32,084084239990,31.65,In spreadsheet but not found in LS — needs CREATE
PWI,28,34,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-28-34,051071128025,29.0,In spreadsheet but not found in LS — needs CREATE
GBB,28,32,COWBOY CUT JEAN* ORIGINAL FIT GB_BLEACH,M-Kon-1013MWZGH-28-32,084084441218,31.65,In spreadsheet but not found in LS — needs CREATE
SHB,30,32,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-30-32,084084494351,30.0,In spreadsheet but not found in LS — needs CREATE
PWI,36,32,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-36-32,051071128346,29.0,In spreadsheet but not found in LS — needs CREATE
WHI,34,30,COWBOY CUT JEAN* ORIGINAL FIT WHITE,M-Kon-1013MWZWI-34-30,051071675680,30.0,In spreadsheet but not found in LS — needs CREATE
CHA,32,32,COWBOY CUT JEAN* ORIGINAL FIT CHARGREY,M-Kon-1013MWZCG-32-32,051071266727,30.0,In spreadsheet but not found in LS — needs CREATE
BCH,42,32,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,M-Kon-1013MWZKL-42-32,084084785374,30.0,In spreadsheet but not found in LS — needs CREATE
AWS,28,34,COWBOY CUT JEAN* ORIGINAL FIT ANTIQUE_WS,M-Kon-1013MWZAW-28-34,760609585819,31.65,In spreadsheet but not found in LS — needs CREATE
CHA,29,38,COWBOY CUT JEAN* ORIGINAL FIT CHARGREY,M-Kon-1013MWZCG-29-38,051071266604,30.0,In spreadsheet but not found in LS — needs CREATE
DST,34,36,COWBOY CUT JEAN* ORIGINAL FIT DK_STONE,M-Kon-1013MWZDD-34-36,084084358578,31.65,In spreadsheet but not found in LS — needs CREATE
DST,28,34,COWBOY CUT JEAN* ORIGINAL FIT DK_STONE,M-Kon-1013MWZDD-28-34,084084358288,31.65,In spreadsheet but not found in LS — needs CREATE
GBB,35,34,COWBOY CUT JEAN* ORIGINAL FIT GB_BLEACH,M-Kon-1013MWZGH-35-34,084084441546,31.65,In spreadsheet but not found in LS — needs CREATE
TAN,29,30,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-29-30,760609723815,30.0,In spreadsheet but not found in LS — needs CREATE
PRE,14,SLM,COWBOY CUT JEAN* BOYS 8-18 PREWASH,B-Kon-1013MWZBP-14-SLM,051071388290,15.0,In spreadsheet but not found in LS — needs CREATE
BCH,40,30,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,M-Kon-1013MWZKL-40-30,084084785329,30.0,In spreadsheet but not found in LS — needs CREATE
CHA,40,34,COWBOY CUT JEAN* ORIGINAL FIT CHARGREY,M-Kon-1013MWZCG-40-34,051071438339,30.0,In spreadsheet but not found in LS — needs CREATE
TAN,33,36,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-33-36,051071340526,30.0,In spreadsheet but not found in LS — needs CREATE
PWI,29,34,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-29-34,051071128063,29.0,In spreadsheet but not found in LS — needs CREATE
SHB,38,36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-38-36,084084494702,30.0,In spreadsheet but not found in LS — needs CREATE
SGB,31,36,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-31-36,084084239914,31.65,In spreadsheet but not found in LS — needs CREATE
BCH,27,36,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,M-Kon-1013MWZKL-27-36,084084784865,30.0,In spreadsheet but not found in LS — needs CREATE
BCH,34,34,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,M-Kon-1013MWZKL-34-34,084084785169,30.0,In spreadsheet but not found in LS — needs CREATE
SHB,37,36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-37-36,051071769143,30.0,In spreadsheet but not found in LS — needs CREATE
WHI,33,34,COWBOY CUT JEAN* ORIGINAL FIT WHITE,M-Kon-1013MWZWI-33-34,051071675659,30.0,In spreadsheet but not found in LS — needs CREATE
CHA,27,32,COWBOY CUT JEAN* ORIGINAL FIT CHARGREY,M-Kon-1013MWZCG-27-32,051071266499,30.0,In spreadsheet but not found in LS — needs CREATE
SGB,34,36,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-34-36,084084240064,31.65,In spreadsheet but not found in LS — needs CREATE
AWS,29,34,COWBOY CUT JEAN* ORIGINAL FIT ANTIQUE_WS,M-Kon-1013MWZAW-29-34,760609585840,31.65,In spreadsheet but not found in LS — needs CREATE
GBB,42,34,COWBOY CUT JEAN* ORIGINAL FIT GB_BLEACH,M-Kon-1013MWZGH-42-34,084084441720,31.65,In spreadsheet but not found in LS — needs CREATE
TAN,32,40,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-32-40,672787249424,30.0,In spreadsheet but not found in LS — needs CREATE
AWS,33,34,COWBOY CUT JEAN* ORIGINAL FIT ANTIQUE_WS,M-Kon-1013MWZAW-33-34,760609586045,31.65,In spreadsheet but not found in LS — needs CREATE
PWI,37,36,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-37-36,051071769099,29.0,In spreadsheet but not found in LS — needs CREATE
SHB,38,40,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-38-40,084084821140,31.25,In spreadsheet but not found in LS — needs CREATE
DST,33,34,COWBOY CUT JEAN* ORIGINAL FIT DK_STONE,M-Kon-1013MWZDD-33-34,084084358516,31.65,In spreadsheet but not found in LS — needs CREATE
GBB,29,32,COWBOY CUT JEAN* ORIGINAL FIT GB_BLEACH,M-Kon-1013MWZGH-29-32,084084441249,31.65,In spreadsheet but not found in LS — needs CREATE
DST,32,30,COWBOY CUT JEAN* ORIGINAL FIT DK_STONE,M-Kon-1013MWZDD-32-30,084084358448,31.65,In spreadsheet but not found in LS — needs CREATE
CHA,38,34,COWBOY CUT JEAN* ORIGINAL FIT CHARGREY,M-Kon-1013MWZCG-38-34,051071266925,30.0,In spreadsheet but not found in LS — needs CREATE
SGB,52,30,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-52-30,760609356303,34.15,In spreadsheet but not found in LS — needs CREATE
