ID,Name,UPC,Auto-Generated,Custom 1,Custom 2,Product Category,Variant_option_one_name,Variant_option_one_value,Variant_option_two_name,Variant_option_two_value,Variant_option_three_name,Variant_option_three_value,Variant_option_four_name,Variant_option_four_value,Tags,Supply price,Retail price,Brand,Supplier,Supplier Code,Active,Track Inventory,Family ID,embedded_sku
986a3e46-a966-4ab9-880a-1f41f2065df9,Top Hand Kids Boots (K-TWX-YTH0024-BRO-11-M),,K-TWX-YTH0024-NA-1.5-NA,K-TWX-YTH0024-NA-1.5-NA,,Footwear - Boots,Color,NA,Shoe Width,NA,Size,1.5,,,41a95de2-1c29-4bb7-ba04-78756cb2f139,0.0,109.95,Twisted X,Twisted X,,True,True,b4b806a8-9a1b-4b48-a14d-f0af102137a4,K-TWX-YTH0024-BRO-11-M
e17c058b-b210-4655-98ad-fe903bc7e2a5,Top Hand Kids Boots (K-TWX-YTH0024-BRO-11-M),884882125149,K-TWX-YTH0024-BRO-12.5-M,K-TWX-YTH0024-BRO-12.5-M,,Footwear - Boots,Color,Brownie & Turquoise,Shoe Width,M,Size,12.5,,,41a95de2-1c29-4bb7-ba04-78756cb2f139,0.0,109.95,Twisted X,Twisted X,,True,True,b4b806a8-9a1b-4b48-a14d-f0af102137a4,K-TWX-YTH0024-BRO-11-M
f8934718-d476-40cd-8600-7a0182239e08,Top Hand Kids Boots (K-TWX-YTH0024-BRO-11-M),884882125187,K-TWX-YTH0024-BRO-11.5-M,K-TWX-YTH0024-BRO-11.5-M,,Footwear - Boots,Color,Brownie & Turquoise,Shoe Width,M,Size,11.5,,,41a95de2-1c29-4bb7-ba04-78756cb2f139,0.0,109.95,Twisted X,Twisted X,,True,True,b4b806a8-9a1b-4b48-a14d-f0af102137a4,K-TWX-YTH0024-BRO-11-M
0e9c96ee-8ed6-4b35-8c12-8367b13639dc,Top Hand Kids Boots (K-TWX-YTH0024-BRO-11-M),,K-TWX-YTH0024-NA-5.5-NA,K-TWX-YTH0024-NA-5.5-NA,,Footwear - Boots,Color,NA,Shoe Width,NA,Size,5.5,,,41a95de2-1c29-4bb7-ba04-78756cb2f139,0.0,109.95,Twisted X,Twisted X,,True,True,b4b806a8-9a1b-4b48-a14d-f0af102137a4,K-TWX-YTH0024-BRO-11-M
7befe77c-7202-4c4c-8292-917620ee57b2,Top Hand Kids Boots (K-TWX-YTH0024-BRO-11-M),884882125125,K-TWX-YTH0024-BRO-13-M,K-TWX-YTH0024-BRO-13-M,,Footwear - Boots,Color,Brownie & Turquoise,Shoe Width,M,Size,13,,,41a95de2-1c29-4bb7-ba04-78756cb2f139,0.0,109.95,Twisted X,Twisted X,,True,True,b4b806a8-9a1b-4b48-a14d-f0af102137a4,K-TWX-YTH0024-BRO-11-M
933640fa-af3d-41ed-b475-066d8ce463a0,Top Hand Kids Boots (K-TWX-YTH0024-BRO-11-M),884882592125,K-TWX-YTH0024-BRO-2.5-M,K-TWX-YTH0024-BRO-2.5-M,,Footwear - Boots,Color,Brownie & Turquoise,Shoe Width,M,Size,2.5,,,41a95de2-1c29-4bb7-ba04-78756cb2f139,0.0,109.95,Twisted X,Twisted X,,True,True,b4b806a8-9a1b-4b48-a14d-f0af102137a4,K-TWX-YTH0024-BRO-11-M
95ff2f0e-2410-45e4-b16b-4be01ff5d734,Top Hand Kids Boots (K-TWX-YTH0024-BRO-11-M),884882592101,K-TWX-YTH0024-BRO-3-M,K-TWX-YTH0024-BRO-3-M,,Footwear - Boots,Color,Brownie & Turquoise,Shoe Width,M,Size,3,,,41a95de2-1c29-4bb7-ba04-78756cb2f139,0.0,109.95,Twisted X,Twisted X,,True,True,b4b806a8-9a1b-4b48-a14d-f0af102137a4,K-TWX-YTH0024-BRO-11-M
9844c42e-2477-4ff7-a2f9-c1d451227162,Top Hand Kids Boots (K-TWX-YTH0024-BRO-11-M),884882125200,K-TWX-YTH0024-BRO-11-M,K-TWX-YTH0024-BRO-11-M,,Footwear - Boots,Color,Brownie & Turquoise,Shoe Width,M,Size,11,,,41a95de2-1c29-4bb7-ba04-78756cb2f139,0.0,109.95,Twisted X,Twisted X,,True,True,b4b806a8-9a1b-4b48-a14d-f0af102137a4,K-TWX-YTH0024-BRO-11-M
336b190c-4dd6-4cd7-8f24-e5199a6a4d62,Weaver Leather Spur (K-WLE-25-8140),000399305830,K-WLE-25-8140,K-WLE-25-8140,,Horse/Rodeo - Rider gear,,,,,,,,,41a95de2-1c29-4bb7-ba04-78756cb2f139,0.0,24.95,Weaver Leather,Weaver Leather,,True,True,7382ce84-dccb-436f-af50-3c60fbd34726,K-WLE-25-8140
17b9bd20-4e59-4f1b-9e4f-59eb0d28513f,Rock & Roll Denim Raised Denim Emb Bootcut (K-WMA-BB0BD03103-MED-7),196692868834,K-WMA-BB0BD03103-MED-7,K-WMA-BB0BD03103-MED-7,,Apparel - Jeans,Color,Medium Vintage,Size,7,,,,,"41a95de2-1c29-4bb7-ba04-78756cb2f139, 9a915378-5288-420b-8902-50963d08b68c",0.0,59.95,Rock & Roll Denim,Westmoor Manufacturing,,True,True,dca04f33-ebd7-4257-9596-08db3e908c30,K-WMA-BB0BD03103-MED-7
