style,orphan_sku,orphan_ls_id_being_deleted,source_pid,existing_sibling_skus,sibling_count,action_taken,review_note
NDC,A-RVP-NDC-54943-825-32-1-QT,39dd58bc-5c52-410e-8e12-74861b3ca256,2785,L6116-5.5-SANDCOWHIDEEMBROIDERY- | L6116-06-SANDCOWHIDEEMBROIDERY- | L6116-6.5-SANDCOWHIDEEMBROIDERY- | L6116-07-SANDCOWHIDEEMBROIDERY- | L6116-7.5-SANDCOWHIDEEMBROIDERY-,15,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
01084,A-MFW-01084-BLA-3-Hats,e189798e-3031-4e94-ac9e-d73b6d6570ff,2795,10010842,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
1082,A-MFW-1082-BLA-3-Hats,d1c15ef4-0f80-4f3e-8998-e7d0110c46c3,2796,MWV108201X | MWV1082001-BLK-S | MWV1082001-BLK-M | MWV1082001-BLK-L | MWV1082001-BLK-XL,9,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
01060,A-MFW-01060-BLA-3-Hats,d349e2e6-e44b-4b05-b68b-029db6d9b9b7,2797,01060,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
368-BK,A-JMA-368-BK-BLA-800-ct,1c7f7ad5-8a05-444b-9377-ed6d185eee5c,2831,368-BK,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
SE,M-BHS-SE-471-10.5-EE,98e6a25e-bcc4-4d88-8af6-1ac586847dc2,2882,SE7501-D070 | SE7501-EE095 | SE7501-D085 | SE7501-EE110 | SE7501-D095,1901,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
XT,M-BHS-XT-5104-11.5-EE,e723cd49-5281-41cd-8012-c7ac663cdd23,2920,74256-Men-2XT- | 74265CD-Men-2XT- | 74265-Men-2XT- | WSTOTW-Men-2XT- | 3W701-Men-3XT-,1024,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
DP,M-DPC-DP-3875-16-D,3006e142-d45a-40a6-a6f9-ebcf374eb0bc,2923,SMB-3122C-BDPP-9 | SMB-3122C-BDPP-9.5 | SMB-3122C-BDPP-10 | SMB-3122C-BDPP-10.5 | SMB-3122C-BDPP-11,3418,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
PH5047,M-BHS-PH5047-NA-9-D-NA,69a002fa-6b58-4afc-9787-97489eeabc87,2932,PH5047-075D-9 | PH5047-095D-9 | PH5047-105D-9 | PH5047-1402E-9 | PH5047-1302E-9,28,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
020-0904-3313,M-KAR-020-0904-3313-TA-11.5-EE,7bd0956d-57d0-40c9-aaaf-d62f0beafab2,2944,M-KAR-09-020-0904-3313-TA-MON-10.5-D | M-KAR-09-020-0904-3313-TA-MON-14-D | M-KAR-09-020-0904-3313-TA-TAN-11-EE | M-KAR-09-020-0904-3313-TA-TAN-11.5-D | M-KAR-09-020-0904-3313-TA-NA-9.5-EE,12,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
BR,M-BHS-BR-7177-15-D,97d04e24-f0f0-47c9-a716-fe8d2208b55a,2964,BR738-D060 | BR738-EE110 | BR738-EE060 | BR738-D095 | BR738-D150,11375,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
LN,W-BHS-LN-2340-8-B,b259aa76-64bf-4612-8dd7-4497383112d3,3070,MULN001-EE-07 | MULN001-D-10 | MULN001-D-13 | MULN001-D-08.5 | MULN001-D-09.5,463,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
14-021-0007-1447,W-KAR-14-021-0007-1447-BL-6-NA,1bb402ac-14ba-420e-8986-d9e7e2658661,3110,14-021-0007-1447-BL-8.5 | W-KAR-14-021-0007-1447-B-8.5-NA,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
14-119-0077-0905,K-KAR-14-119-0077-0905-BL-4-NA,561983ab-6557-4e7e-bb1d-cbce98bc3734,3231,14-119-0077-0905-BL-4,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MSW9163033,W-MIN-MSW9163033-NAV-NAV-M-NA,aadbe031-bc74-41e8-b3c4-92ee02d2a148,3734,MSW9163033 | MSW9163033-NAV-S | W-MIN-MSW9163033-NAV-M | MSW9163033-NAV-L | W-MIN-MSW9163033-NAV-XL,8,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
