confidence,match_type,product_id,name,brand_name,our_sku,style_number,size_or_dimensions,tags,status,ls_barcode,ls_sku,Use to Update,Reason
HIGH,direct_id,6704,Wrangler Men's Vintage Inspired Blue Multi Stripe Snap Shirt,Wrangler,M-KON-112379229-BLU-XL,112379229,XL,Men,enhanced_complete,197150445017,M-KON-112379230-BLU-XXL,no,doesn’t match
HIGH,direct_id,6633,Wrangler Retro Shirt,Wrangler,M-KON-112368072,112368072,,Men,enhanced_complete,196458371356,10796,no,not enough information
HIGH,direct_id,6647,Wrangler Retro Shirt,Wrangler,M-KON-112368072-XL,112368072,XL,Men,enhanced_complete,196458371356,10796,no,not enough information
HIGH,direct_id,6646,Wrangler Retro Shirt,Wrangler,M-KON-112368072-XLT,112368072,XLT,"Men, Tall",enhanced_complete,196458371356,10796,no,not enough information
HIGH,direct_id,6610,Wrangler Shirt,Wrangler,M-KON-1075098AA-3XT,1075098AA,3XT,"Men, Tall",enhanced_complete,084084090782,10792,no,not enough information
HIGH,direct_id,6642,Wrangler Shirt,Wrangler,M-KON-75098AA-XLT,75098AA,XLT,"Men, Tall",enhanced_complete,084084090782,10792,no,not enough information
HIGH,direct_id,6640,Wrangler Shirt,Wrangler,M-KON-75098AS-XLT,75098AS,XLT,"Men, Tall",enhanced_complete,084084090782,10792,no,not enough information
MEDIUM,sku_match,5994,Ariat Kid's Active Fish Crew Socks,Ariat,AR4378-981-S/M,10055382,S/M,"Kids, Clearance",complete,606902841323,AR4378-981-S/M,ok,
MEDIUM,sku_match,1013,Cinch Jacket,Cinch,M-MIN-MWV159205X-GRA-4XL,MWV159205X,4XL,"Men, F",complete,192584600728,M-MIN-MWV159205X-GRA-4XL,ok,
MEDIUM,sku_match,6109,Cinch Shirt,Cinch,K-MIN-MTW7061390-PUR-4T,MTW7061390,4T,Kids,complete,192584576870,K-MIN-MTW7061390-PUR-4T,ok,
MEDIUM,sku_match,1446,Cinch Woven Shirt,Cinch,M-MIN-MTW1105991-RED-XXL,MTW1105991,XXL,"Men, F",complete,192584591484,M-MIN-MTW1105991-RED-XXL,ok,
