source_pid,orphan_sku,ls_product_id,ls_uuid_found,style_number_raw,style_number_clean,embedded_color_code,brand,supplier,category,barcode,retail_price,supply_price,color,size,item_name
5610,A-WLE-35-7036-RA-LG-HORSE-OR-2-YR-OLD-DRAFT-HORSE,5ff5ee32-29de-499d-a9ce-cc55e2f7a9a3,Y,35-7036-RA,35-7036-RA,,Weaver Leather,Weaver Leather,Equestrian - Halter,000399515642,25.95,,,LG HORSE OR 2 YR OLD DRAFT HORSE,"1"" ADJ CHIN & THROAT SNP HLTR"
5611,A-MIN-MXY-6005002-BLK-BLA-M,d8a96fe9-7dde-4da2-8c1a-9c3d9467b597,Y,MXY 6005002 BLK,MXY,6005002,Cinch,Miller International,Apparel - Socks,192584065862,10.00,,Black,M,Performance Athletic Sock (2 pr)
5620,A-GEN-MXY-6005001-WHT-WHI-M,5744e128-e50d-4ade-8708-ccef2957d6ae,Y,MXY 6005001 WHT,MXY,6005001,,Generic Supplier,Apparel - Socks,,10.00,,White,M,Socks
5623,A-WLE-35-7006-PU-PUR-Lg-Horse-or-2-Yr-Old-Draft-Horse,5ce7132d-fa0c-490c-bf00-aa92deffb681,Y,35-7006-PU,35-7006-PU,,Weaver Leather,Weaver Leather,Equestrian - Halter,000399288638,29.95,,Purple,Lg Horse or 2 Yr Old Draft Horse,"1"" Original Halter"
5624,A-WLE-35-7006-DP-PNK-Lg-Horse-or-2-Yr-Old-Draft-Horse,2c6c3dd6-e7c1-4879-b70b-259730bd66fd,Y,35-7006-DP,35-7006-DP,,Weaver Leather,Weaver Leather,Equestrian - Halter,000399614994,29.95,,Pink,Lg Horse or 2 Yr Old Draft Horse,"1"" Original Halter"
5644,A-WLE-35-7035-DP-DAR-Med-Horse-or-Yearling-Draft-Horse,2efa0b0e-0242-44af-b7db-126f12c7bf41,Y,35-7035-DP,35-7035-DP,,Weaver Equine,Weaver Leather,Equine - Halter,000399614918,26.95,,Dark Pink,Med Horse or Yearling Draft Horse,"1"" Adj Chin & Throat Snap Halter"
5646,A-WLE-35-1030-HG-Suckling-Horse,b9d60400-e80b-4c4b-a6dd-e61c3e85a024,Y,35-1030-HG,35-1030-HG,,Weaver Leather,Weaver Leather,Equestrian - Halter,000399117075,22.95,,,Suckling Horse,"3/4"" ADJ CHIN & THROAT SNAP HALTER"
5647,A-WLE-35-4800-hg-HUN-MINI-HORSE,28b49a79-8147-4acf-988d-8f45795fd075,Y,35-4800-hg,35-4800-hg,,Weaver Leather,Weaver Leather,Equestrian - Halter,000399456921,49.95,,Hunter Green,MINI HORSE,"HLTR 5/8"" MINI HORSE AVG"
5659,A-WLE-35-4800-DP-DIV-Mini-Horse,4f002838-dd38-4940-b942-645e706b8be4,Y,35-4800-DP,35-4800-DP,,Weaver Leather,Weaver Leather,Equestrian - Halter,,26.95,,Diva Pink,Mini Horse,"5/8"" ADJ CHIN & THROAT SNAP HALTER"
5665,A-JMA-5-80-BACS-RD-S,0af1f9fc-21fa-46a4-8c39-82a1fad49008,Y,5-80 BACS RD,5-80,BACS,Valhoma/Schutz,"Jacks Manufacturing, Inc.",Equestrian - Halter,086386641280,34.95,,,S,Small Halter
5667,A-WLE-35-7034-BL-BLU-Small-Horse-or-Weanling-Draft-Horse,cfb62249-4922-4942-9bfd-1e127079c919,Y,35-7034-BL,35-7034-BL,,Weaver Leather,Weaver Leather,Equestrian - Halter,000399131880,25.95,,Blue,Small Horse or Weanling Draft Horse,"1"" ADJ Chin & Throat Snap Halter"
5668,A-JMA-5-80-B-RB-Small-500-800-LB,2a2bda4a-4408-4cc2-a00b-7f67d28736c9,Y,5-80 B RB,5-80,B,Valhoma,"Jacks Manufacturing, Inc.",Equestrian - Halter,086386235946,27.95,,,Small 500-800 LB,Small Halter
5671,A-WLE-35-7033-BL-Yearling-Horse,f8685fdc-9f8a-4e3c-b8f2-8b4a9d871ee1,Y,35-7033-BL,35-7033-BL,,Weaver Leather,Weaver Leather,Equestrian - Halter,000399131781,25.95,,,Yearling Horse,"1"" Adj Chin & Throat Snap Halter, Yearling Horse"
5672,A-WLE-35-1032-HG-HUN-Weanling-Horse,2a658236-cd8b-41ce-b1bc-4ae7d6b844c1,Y,35-1032-HG,35-1032-HG,,Weaver Leather,Weaver Leather,Equestrian - Halter,000399117273,22.95,,Hunter Green,Weanling Horse,"3/4"" Adj Chin & Throat Snap Halter, Weanling Horse"
5673,A-WLE-35-1032-49-TEA-Weanling-Horse,8eefd6f5-b4d9-4a6d-86b5-7a8ac8aa8ac4,Y,35-1032-49,35-1032-49,,Weaver Leather,Weaver Leather,Equestrian - Halter,000399141100,22.95,,Teal,Weanling Horse,"3/4"" Orig Adj Wean Halter, TE Snap Halter"
5674,A-WLE-35-1032-PU-PUR-Weanling-Horse,bb56435b-8149-4664-9670-e7a16c1392ed,Y,35-1032-PU,35-1032-PU,,Weaver Leather,Weaver Leather,Equestrian - Halter,000399295902,22.95,,Purple,Weanling Horse,"3/4"" Adj Chin & Throat Snap Halter"
5675,A-WLE-35-1032-HB-HUR-Weanling-Horse,36509d82-8254-49b9-b469-8a47be1ff147,Y,35-1032-HB,35-1032-HB,,Weaver Leather,Weaver Leather,Equestrian - Halter,000399614444,22.95,,Hurricane Blue,Weanling Horse,"3/4"" Adj Chin & Throat Snap Halter, Weanling Horse"
5676,A-WLE-35-1032-RD-RED-Weanling-Horse,6ddeca2b-e7de-4d5e-abba-a2b12dca95bb,Y,35-1032-RD,35-1032-RD,,Weaver Leather,Weaver Leather,Equestrian - Halter,000399117303,22.95,,Red,Weanling Horse,"3/4"" Adj Chin & Throat Snap Halter, Weanling Horse"
