source,ls_product_id,sku,new_name,color_code,size,length,ls_barcode,ss_upc,upc_match,ls_supply_price,ss_supply_price,supply_match,ls_retail_price,status
per_color_family,87ef5540-40db-4c54-9faf-b4f653c8926f,M-Kon-1013MWZXS-34-44,COWBOY CUT JEAN* ORIGINAL FIT RIGID,RIG,34,44,051071390781,051071390781,True,23.75,23.75,True,48.95,CLEAN
per_color_family,3af7c73a-251c-4ffe-a399-660f0c820287,M-Kon-1013MWZXS-36-44,COWBOY CUT JEAN* ORIGINAL FIT RIGID,RIG,36,44,051071390798,051071390798,True,23.75,23.75,True,48.95,CLEAN
per_color_family,c90575df-bfa3-4fae-a1ee-2b7385020570,M-Kon-1013MWZXS-38-40,COWBOY CUT JEAN* ORIGINAL FIT RIGID,RIG,38,40,051071611855,051071611855,True,23.75,23.75,True,48.95,CLEAN
per_color_family,d63ae214-f618-4927-8421-29ed28c97c29,M-Kon-1013MWZXS-48-34,COWBOY CUT JEAN* ORIGINAL FIT RIGID,RIG,48,34,051071393232,051071393232,True,23.75,23.75,True,48.95,CLEAN
per_color_family,c56e926f-834a-446d-a2ca-6f7005282e63,M-Kon-1013MWZXS-50-34,COWBOY CUT JEAN* ORIGINAL FIT RIGID,RIG,50,34,051071393256,051071393256,True,23.75,23.75,True,48.95,CLEAN
per_color_family,59b6a287-809e-4684-9850-46d29e0889c5,M-Kon-1013MWZXS-52-34,COWBOY CUT JEAN* ORIGINAL FIT RIGID,RIG,52,34,051071393270,051071393270,True,23.75,23.75,True,48.95,CLEAN
per_color_family,d83fb8c0-1d07-46da-9a60-a4420bca3a5d,M-Kon-1013MWZXS-54-32,COWBOY CUT JEAN* ORIGINAL FIT RIGID,RIG,54,32,051071393287,051071393287,True,23.75,23.75,True,48.95,CLEAN
per_color_family,7da73bcc-d96b-48b7-9906-9dbd00bca8b6,M-Kon-1013MWZXS-54-34,COWBOY CUT JEAN* ORIGINAL FIT RIGID,RIG,54,34,051071393294,051071393294,True,23.75,23.75,True,48.95,CLEAN
per_color_family,29570936-cbd6-4030-8027-026ad41064b2,M-Kon-1013MWZWK-27-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,27,34,084084494252,084084494252,True,30.0,30.0,True,59.95,CLEAN
per_color_family,22dd25b5-2990-4a2f-a1a0-73634d5a52dc,M-Kon-1013MWZWK-27-36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,27,36,084084494269,084084494269,True,30.0,30.0,True,59.95,CLEAN
per_color_family,bc42aaf2-daba-41a8-92b9-72bcb8b0ff06,M-Kon-1013MWZWK-28-30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,28,30,672787248151,672787248151,True,30.0,30.0,True,59.95,CLEAN
per_color_family,6c6b1152-63a0-49ba-a5e8-294b45b974ec,M-Kon-1013MWZWK-28-32,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,28,32,084084494276,084084494276,True,30.0,30.0,True,59.95,CLEAN
per_color_family,fdf874ea-2dee-4631-b5cc-a3c199cd3cb3,M-Kon-1013MWZWK-28-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,28,34,084084494283,084084494283,True,30.0,30.0,True,59.95,CLEAN
per_color_family,5f51e966-0dc8-4c97-8c42-fe6553c30cc7,M-Kon-1013MWZWK-28-36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,28,36,084084494290,084084494290,True,30.0,30.0,True,59.95,CLEAN
